addr          name                           size  callers
0050:68d9     FUN_0050_68d9                    34  FUN_0050_a4da,FUN_0050_b32b
0050:6a2a     FUN_0050_6a2a                    34  FUN_0050_51f7
0050:6a9c     FUN_0050_6a9c                    34  FUN_0050_587e
0050:6c48     FUN_0050_6c48                    34  FUN_0050_8915
0050:6d8f     FUN_0050_6d8f                    20  FUN_0050_832a,FUN_0050_91fa,FUN_0050_ae17
0050:6da3     FUN_0050_6da3                    13  FUN_0050_91fa,FUN_0050_9ebc
0050:6e0a     FUN_0050_6e0a                    34  FUN_0050_587e
0050:6e9e     FUN_0050_6e9e                    34  FUN_0050_951b
0050:6ed7     FUN_0050_6ed7                    34  FUN_0050_810f,FUN_0050_832a,FUN_0050_8a9c,FUN_0050_91fa,FUN_0050_951b,FUN_0050_b498
0050:6f04     FUN_0050_6f04                    34  FUN_0050_832a,FUN_0050_8831
0050:6f48     FUN_0050_6f48                    34  FUN_0050_8a2a
0050:6f9f     FUN_0050_6f9f                    34  FUN_0050_46b3
0050:70eb     FUN_0050_70eb                    33  FUN_0050_557e,FUN_0050_587e
0050:7849     FUN_0050_7849                    24  FUN_0050_8037,FUN_0050_832a,FUN_0050_88ba,FUN_0050_8915,FUN_0050_8a9c,FUN_0050_8df6,FUN_0050_980a,FUN_0050_ae17,FUN_0050_b3fa
0050:7873     FUN_0050_7873                     4  FUN_0050_557e
0050:7878     FUN_0050_7878                     1  FUN_0050_8915
0050:787b     FUN_0050_787b                    63  FUN_0050_a59f
0050:78f8     FUN_0050_78f8                    10  FUN_0050_587e
0050:7acf     FUN_0050_7acf                   211  FUN_0050_587e
0050:7c63     FUN_0050_7c63                    21  FUN_0050_8e17
0050:7c79     FUN_0050_7c79                    42  FUN_0050_587e
0050:8037     FUN_0050_8037                   161  FUN_0050_832a,FUN_0050_8a42,FUN_0050_8cb9
0050:810f     FUN_0050_810f                   108  FUN_0050_54dd,FUN_0050_557e
0050:832a     FUN_0050_832a                   921  FUN_0050_587e
0050:86c5     FUN_0050_86c5                    35  FUN_0050_832a,FUN_0050_8cb9
0050:86e8     FUN_0050_86e8                    16  FUN_0050_b3fa
0050:8831     FUN_0050_8831                   125  FUN_0050_5c63
0050:88b1     FUN_0050_88b1                     9  FUN_0050_4820,FUN_0050_5292,FUN_0050_54dd,FUN_0050_557e,FUN_0050_587e
0050:88ba     FUN_0050_88ba                    89  FUN_0050_54dd,FUN_0050_587e
